date_aaaammjj;menutypeplat;plat;specificites;repas
2021-01-19;Entrée;SOUPE A L'OIGNON FRAIS MAISON;Haute Qualité Alimentaire;DEJEUNER
2021-01-19;Fromage;FROMAGE BLANC AU SUCRE;;DEJEUNER
2021-01-19;Dessert;COMPOTE POMME FRAICHE UPC;Haute Qualité Alimentaire;DEJEUNER
2021-01-21;Entrée;FILET DE MAQUEREAU ESCABECHE;;DEJEUNER
2021-01-21;Plat;DOS DE COLIN MARINADE HUILE D'OLIVE ET CITRON;;DEJEUNER
2021-01-22;Entrée;SALADE MELANGE LOCALE BIO NICOISE;Produit Agriculture Biologique;DEJEUNER
2021-01-25;Entrée;OEUF A LA COQUE ET MOUILLETTE;;DEJEUNER
2021-01-25;Légumes;CAROTTE BIO A LA CREME;Produit Agriculture Biologique;DEJEUNER
2021-01-25;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2021-01-26;Fromage;FROMAGE CAMEMBERT BIO;Produit Agriculture Biologique;DEJEUNER
2021-01-26;Fromage;YAOURT BIO SUCRE SAVEUR VANILLE;Produit Agriculture Biologique;DEJEUNER
2021-01-28;Entrée;VELOUTE CAROTTES BIO MAISON;Produit Agriculture Biologique;DEJEUNER
2021-01-28;Légumes;POELEE LEGUMES TAJINE;;DEJEUNER
2021-01-28;Légumes;QUINOA BIO;Produit Agriculture Biologique;DEJEUNER
2021-01-28;Fromage;PETITS SUISSE BIO AUX FRUITS;Produit Agriculture Biologique;DEJEUNER
2021-01-28;Dessert;SALADE FRUITS D'HIVER FRAIS;Haute Qualité Alimentaire;DEJEUNER
2021-01-29;Entrée;SALADE MELANGE LOCALE BIO BILLES MOZZARELLA;Produit Agriculture Biologique;DEJEUNER
2021-01-29;Plat;STEAK HACHE DE BOEUF FACON BOUCHERE;;DEJEUNER
2021-01-29;Dessert;CREME DESSERT CHOCOLAT BIO;Produit Agriculture Biologique;DEJEUNER
2021-02-01;Légumes;POELEE RATATOUILLE;;DEJEUNER
2021-02-02;Plat;CREPE JAMBON/LARDONS UPC;;DEJEUNER
2021-02-02;Fromage;YAOURT NATURE BIO LAIT ENTIER ET SUCRE;Produit Agriculture Biologique;DEJEUNER
2021-02-02;Dessert;CREPE PATE A TARTINER;;DEJEUNER
2021-02-04;Entrée;SALADE MELANGE LOCALE BIO MIMOSA;Produit Agriculture Biologique;DEJEUNER
2020-09-01;Plat;ESCALOPE DE PORC A GRILLER AUX HERBES DE PROVENCE;Haute Qualité Alimentaire;DEJEUNER
2021-02-05;Plat;ESCALOPE DE POULET PANE;;DEJEUNER
2020-09-01;Fromage;FROMAGE CAMEMBERT BIO;Produit Agriculture Biologique;DEJEUNER
2021-02-05;Fromage;FROMAGE KIRI CREME IND;;DEJEUNER
2020-09-01;Dessert;MOUSSE AU CHOCOLAT AU LAIT IND;;DEJEUNER
2021-02-09;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2020-09-04;Fromage;YAOURT BIO SUCRE SAVEUR VANILLE;Produit Agriculture Biologique;DEJEUNER
2021-02-12;Entrée;LENTILLES VINAIGRETTE;;DEJEUNER
2020-09-04;Dessert;GLACE SUNDAE CHOCOLAT;;DEJEUNER
2021-02-12;Légumes;HARICOTS VERTS BIO AU BEURRE PERSILLES;Produit Agriculture Biologique;DEJEUNER
2020-09-08;Entrée;MELON PAYS;Haute Qualité Alimentaire;DEJEUNER
2021-02-12;Fromage;FROMAGE GOUDA BIO IND;Produit Agriculture Biologique;DEJEUNER
2020-09-08;Entrée;SALADE GRECQUE UPC;Haute Qualité Alimentaire;DEJEUNER
2021-02-12;Dessert;CREME DESSERT VANILLE BIO;Produit Agriculture Biologique;DEJEUNER
2020-09-08;Plat;FAJITAS VEGE - PLAT COMPLET ALTERNATIF PV;;DEJEUNER
2021-03-01;Plat;FILET MEUNIERE ET CITRON;;DEJEUNER
2020-09-08;Plat;PORC ESCALOPE BIO SAUCE MOUTARDE A L'ANCIENNE;Haute Qualité Alimentaire;DEJEUNER
2021-03-01;Légumes;POMME DE TERRE NOISETTE;;DEJEUNER
2020-09-10;Entrée;GASPACHO;;DEJEUNER
2021-03-02;Entrée;AVOCAT MAYONNAISE;;DEJEUNER
2020-09-14;Entrée;CONCOMBRE FRAIS VINAIGRETTE;Haute Qualité Alimentaire;DEJEUNER
2021-03-02;Fromage;FROMAGE BLANC NATURE BIO;Produit Agriculture Biologique;DEJEUNER
2020-09-14;Plat;HAUT DE CUISSE/PILONS DE POULET ROTI BIO;Produit Agriculture Biologique;DEJEUNER
2021-03-02;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 2;Produit Agriculture Biologique;DEJEUNER
